user_location,user_followers,retweet_count,favorite_count,user_verified,date,lang,text,hashtags,source
,57,9587,0,False,2020-07-06 03:07:12,en,"RT @EM_RESUS: Do you personally know someone who has or had COVID-19? 

RT for YES, ♥️ for NO.",,Twitter for Android
"makassar, semarang, indonesia",735,2130,0,False,2020-07-06 04:13:31,in,RT @Ladrinaline: Beberapa waktu ini bertanya2 'Is covid real or not?' sambil tetep di rumah dan jalanin protokol Covid waktu keluar. Sampe…,,Twitter for Android
,292,4295,0,False,2020-07-06 19:34:34,en,"RT @maddow: ""It took three months, from early March to June 22, for Florida to cross 100,000 new confirmed COVID-19 cases.

It took less th…",,Twitter for Android
"New York, USA",449,0,0,False,2020-07-06 01:19:53,en,"Netanyahu sounds alarm over Israel’s new Covid-19 spike, warning ‘we’re in a state of emergency’ https://t.co/1Sjr6lH4Y8",,Twitter for Android
"Phoenix, AZ",2042,7,0,False,2020-07-06 04:20:59,en,"RT @theleorodriguez: COVID update on my apa:

• Temperature back to normal
• Vitals stabilized
• He's walking 
• He's talking better (still…",,Twitter for iPhone
"Standish & Shevington, Wigan",384,5330,0,False,2020-07-06 08:13:59,en,"RT @Pontifex: The United Nations has called for an immediate, global ceasefire in order to face the Covid-19 pandemic and provide humanitar…",,Twitter for Mac
"Gurgaon, haryana, india",462,246,0,False,2020-07-06 17:23:13,en,"RT @PTI_News: Universities can conduct final-year exams in online, offline or blended mode, says HRD Ministry; tests were postponed due to…",,Twitter Web App
"Winnipeg, Manitoba",77,135,0,False,2020-07-06 02:36:51,en,RT @TSNDaveNaylor: Keep getting these arguments that Covid-19 cases are lower in Canada because of sparse population density. Fact: If Onta…,,Twitter for Android
she/her,624,162,0,False,2020-07-06 19:09:49,en,"RT @WestVirginiaU: Masks or face coverings are now required indoors in West Virginia, and this fall, they'll be required on our campus. Dr.…",,Twitter for iPhone
"Victoria, Australia",205,20,0,False,2020-07-06 22:55:02,en,"RT @hyperallergic: Every Wednesday since June 17, the @QueensMuseum has hosted a food pantry designed to serve 1,000 families weekly. https…",,Twitter for Android
,684,12,0,False,2020-07-06 13:19:46,en,RT @StanTradingMan: $UAVS and $VISL are both dirt cheap. Drones have been QUIET while we know they’re being heavily utilized during the cov…,,Twitter for iPhone
,2,16054,0,False,2020-07-06 04:43:19,en,"RT @DanRather: Hey, I think President Trump is on to something with this idea of limiting COVID infections by not testing as much. Who knew…",,Twitter for iPhone
"bi, 22",1572,0,0,False,2020-07-06 20:52:14,en,the US is failing miserably to control the spread of covid and now they want to punish students who come here from other countries by telling them they have to transfer or go home if classes are not in person??? 1 and a half fucking months before the school year starts?,,Twitter for iPhone
Brasil,52,618,0,False,2020-07-06 11:55:41,pt,RT @JoseMedeirosMT: Marrone conta como venceu a Covid. https://t.co/ynhxQLZBiZ,,Twitter for Android
The most powerful city,410,3,0,False,2020-07-06 23:56:49,en,"RT @gpena: At any rate—an attempt at a thread summary:

1) COVID-19 is hell. I almost died.
2) I didn’t in the end, though, so I’m here if…",,Twitter Web App
,100,4,0,False,2020-07-06 06:51:16,und,RT @BJS_India: #SmartHelmet #BJS #COVID__19 https://t.co/Ut74IBUyNg,"['SmartHelmet', 'BJS', 'COVID__19']",Twitter Web App
"San Antonio, TX",527,3681,0,False,2020-07-06 20:28:34,en,RT @chuckwoolery: You think Covid 19 would be so severe if it wasn't an election year?,,Twitter for iPhone
Republic of Berkeley CA,4200,1175,0,False,2020-07-06 20:56:29,en,"RT @HKrassenstein: @realDonaldTrump First of all, Joe Biden has not made a single comment saying he doesn't want to open schools in the fal…",,Twitter for Android
"Mafikeng, South Africa",1473,3,0,False,2020-07-06 10:48:59,en,RT @SowetanLIVE: President Cyril Ramaphosa has dedicated his weekly newsletter to South Africans who  are vulnerable to Covid-19. https://t…,,Twitter for Android
"California, USA",2357,2728,0,False,2020-07-06 16:22:18,en,"RT @robbystarbuck: 24 states have Democrat Governors
26 states have Republican Governors

Out of 132,568 COVID deaths:

• 94,700 occurred i…",,Twitter Web App
South Africa,410,5467,0,False,2020-07-06 05:16:35,en,"RT @Joseline_xx: Remove the stigma around Covid. Please.
If you test positive, inform people.",,Twitter for Android
"Toronto, ON",1537,0,0,False,2020-07-06 20:24:31,en,Good news: The United States now has so few deaths due to COVID-19 that the Centers for Disease Control and Prevention reported Friday it is approaching the threshold for dipping below the level of an epidemic. https://t.co/Fnfrem5rY7,,Twitter Web App
,360,2165,0,False,2020-07-06 06:33:35,in,"RT @oxfara: Dokter residen anak di seluruh Indonesia sedang berduka krn sejawat kami telah berpulang. Dr. Putri Wulan, residen anak UNAIR m…",,Twitter for Android
"Hampton, VA",1190,23042,0,False,2020-07-06 16:25:59,en,RT @ace_boogie05: I pray COVID doesnt steal any of my ppl from me 😔,,Twitter for Android
,498,0,0,False,2020-07-06 05:37:23,in,mereka sudah lelah tagar terserah aja bukti mereka juga capek... https://t.co/39LWJIALCr,,Twitter Web App
,393,122585,0,False,2020-07-06 15:34:52,en,RT @bluskyz: So baseball players will get tested for COVID-19 every two days. How often will teachers and students be tested?,,Twitter for iPhone
Indiana,2130,13,0,False,2020-07-06 12:36:33,en,"RT @IUImpact: .@IUMedSchool is asking Hoosiers who have recovered from #COVID19 to donate blood for research to improve testing, develop tr…",['COVID19'],Twitter Web App
,423,44093,0,False,2020-07-06 23:13:48,es,RT @aangieuxx: te extraño vida sin covid,,Twitter for iPhone
,400,156171,0,False,2020-07-06 01:31:22,en,RT @CoachJustice10: What COVID and Racism have in common: People don't believe they exists if they haven't been affected personally.,,Twitter for iPhone
"Clearwater, Florida",63,11334,0,False,2020-07-06 03:35:25,en,"RT @RexChapman: Diamond Lake in Cass County, Michigan just now:

A COVID-19 Petri dish...https://t.co/rSzYHGTm0o",,Twitter for iPhone
"Sydney, New South Wales",1590,0,0,False,2020-07-06 10:02:34,en,"@_JustinStevens_ @latingle @abc730 @LaTrioli @leighsales @ashmcghee @normanswan @HanSinclair Hey Virginia, how come no mention of the #COVIDSafe debacle? The tracing app doesn’t work...

https://t.co/mJ1d0RLaCi

We need the Government to fix it or flick it - as Boris Johnson did... 

https://t.co/vNFsDategI

#Journalism #COVIDFail","['COVIDSafe', 'Journalism', 'COVIDFail']",Twitter for iPhone
"Palembang, Sumsel, Indonesia",1109,0,0,False,2020-07-06 05:31:21,in,Bucks tutup fasilitas latihan karena COVID-19  https://t.co/RwQoue7hRm,,twittbot.net
,599,122585,0,False,2020-07-06 19:18:57,en,RT @bluskyz: So baseball players will get tested for COVID-19 every two days. How often will teachers and students be tested?,,Twitter for iPhone
,279,658,0,False,2020-07-06 15:49:09,en,"RT @JaciMac7: please take a moment to read!! it could save my grandma’s life, she’s at Baptist hospital in Miami, Fl!! We’re asking anyone…",,Twitter for iPhone
K’jipuktuk,1946,122585,0,False,2020-07-06 20:04:55,en,RT @bluskyz: So baseball players will get tested for COVID-19 every two days. How often will teachers and students be tested?,,Twitter for Android
,214,62,0,False,2020-07-06 06:47:54,en,"RT @CajunBlueAZ1: Approximately 132,212 deaths and not a single word of condolence to the families of the bereaved. 

COVID-19 is the Trump…",,Twitter for iPhone
Czech Republic,322,525,0,False,2020-07-06 22:49:57,en,"RT @CNN: ""COVID-19 has literally hit home. I have had NO symptoms and have tested positive.""

Atlanta Mayor Keisha Lance Bottoms, a top can…",,Twitter for Android
,77,865,0,False,2020-07-06 08:30:11,en,"RT @aseelaspage: At 4:45pm Saturday the 4th of July, 
The predominantly African community living in 9 public housing apartments which equat…",,Twitter for iPhone
HUBLI KARNATAKA INDIA,58,196,0,False,2020-07-06 15:09:47,en,"RT @stpiindia: “We are going to innovate more at a very fast pace and the ideation should come from the young innovators,” cited Dr. @Omkar…",,Twitter for Android
,276,3092,0,False,2020-07-06 03:53:19,en,RT @JamilSmith: We knew that COVID-19 hit black and Latino populations disproportionately. But new data made available after @nytimes sued…,,Twitter for iPhone
